id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
9|1|906|Alberdi|Supermercado|RIVADAVIA|732|-27.5889|-65.6202|||4161|JUAN BAUTISTA ALBERDI|AR-T|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|942|Mar del Plata SM 942|Hipermercado|AVENIDA INDEPENDENCIA|3705|-38.0126|-57.5652|||7600|MAR DEL PLATA|AR-B|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|2|977|SM 977 Cuba.|Supermercado|CUBA|1714|-34.5646|-58.4517|||1426|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 22:00
9|1|980|Parque San Martín|Supermercado|MENDOZA|225|-24.7958|-65.4056|||4400|SALTA|AR-A|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|3|5246|Vea Nordelta|Supermercado|Agustín M. García|8852|-34.397492|-58.658421|||1621|Benavídez|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|09:00 a 21:00
9|3|5245|Jumbo Nordelta|Hipermercado|Av. de los Lagos|6660|-34.400447|-58.655038|||1670|Tigre|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|09:00 a 21:00
9|3|5458|Jumbo Madero Harbour|Supermercado|Lola Mora|450|-34.619238|-58.360884|||1107|CABA|AR-C|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|09:00 a 21:00
9|3|5962|Jumbo Puertos del Lago|Supermercado|Ruta Provincial 25|9100|-34.323319|-58.748327|||1625|Belén de Escobar|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|09:00 a 21:00
9|1|859|Jumbo Almagro|Supermercado|Guardia Vieja|4558|-34.600243|-58.428699|||1192|CABA|AR-C|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30
9|1|647|Jumbo Pilar|Hipermercado|Las Magnolias|698|-34.444929|-58.869658|||1629|Pilar|AR-B|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|638|Jumbo Palermo|Hipermercado|Av. Int. Bullrich|345|-34.573925|-58.426731|||1425|CABA|AR-C|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00
